35.781434,139.150559,845,長尾平,撮影場所,
2012,12,20,3.7666,撮影時刻,
6,45,9,シリウス,1赤経,
16,42,58,-1,1赤緯,
5,25,8,ベラトリックス,2赤経,
6,20,59,1,2赤緯,
202,286,,,基準点座標1,
731,236,,,基準点座標2,
250,,,,方位角位置,
1.188,,,,ｋ,1.156
35.765238,139.130375,1266,大岳山,,
35.874388,138.954529,1940,芋の木ドッケ,,
35.650854,139.447317,52,聖蹟桜ヶ丘駅,,
35.829957,139.012333,1734,鷹ノ巣山,,
35.653657,139.449978,54,関戸橋1,,
35.652985,139.449978,54.8,鉄橋1,,
35.658484,139.439297,58.1,府中四谷橋1,,
