1,0,0,0,0,0,5,10,0,45,13,45,0,6,70,2,
2,0,0,0,0,0,5,4,1,0,30,11,0,6,29,4,
3,67,0,0,33,0,5,20,1,5,42,27,0,4,61,5,
4,62,0,0,86,0,5,42,0,13,23,46,0,5,51,4,
5,0,0,0,0,0,6,16,0,58,26,12,0,5,96,4,
6,0,0,0,0,0,6,19,1,49,4,30,0,5,70,4,
7,14,0,0,10,0,6,27,0,64,11,46,0,5,59,1,
8,0,0,0,0,0,6,37,0,29,1,17,0,6,13,5,
9,0,0,0,0,0,6,50,1,23,6,27,0,6,18,2,
10,0,0,0,0,0,7,18,1,17,23,11,0,6,19,2,
11,0,0,0,0,0,7,44,1,2,32,56,0,6,43,1,
12,0,0,0,0,0,7,47,1,22,30,32,0,5,94,2,
13,0,0,0,0,0,8,4,1,33,31,46,0,5,68,5,
14,0,0,0,0,0,8,12,1,2,26,52,0,6,7,5,
15,1,1,0,21,0,8,23,0,29,5,26,0,2,6,1,
16,0,0,0,0,0,8,17,1,8,49,26,0,5,99,4,
17,0,0,0,0,0,8,41,0,36,37,36,0,6,19,3,
18,0,0,0,0,0,8,33,1,17,34,39,0,6,6,7,
19,0,0,0,0,0,8,52,0,25,27,46,0,6,23,5,
20,0,0,0,0,0,9,20,0,79,42,53,0,6,1,2,
21,14,2,0,11,0,9,11,0,59,8,59,0,2,27,3,
22,62,0,0,87,0,9,2,0,18,12,43,0,5,53,4,
23,0,0,0,0,0,9,2,1,54,0,7,0,6,33,4,
24,71,10,1,0,0,9,21,1,27,59,16,0,5,42,3,
25,64,5,0,0,0,9,25,1,45,44,51,0,3,88,5,
26,67,0,0,34,0,10,2,0,11,8,44,0,5,51,1,
27,1,0,0,22,0,10,19,0,46,4,20,0,5,3,3,
28,0,0,0,0,0,10,30,0,57,9,56,0,6,74,1,
29,0,0,0,0,0,10,19,1,5,14,55,0,5,84,5,
30,58,3,3,0,0,10,2,1,82,13,26,0,5,28,4,
31,0,0,0,0,0,10,43,1,12,34,48,0,5,85,5,
32,0,0,0,0,0,10,39,1,73,13,28,0,6,64,3,
33,17,0,0,6,0,11,16,1,15,28,5,0,4,89,3,
34,71,10,2,0,0,11,34,1,27,47,59,0,5,41,5,
35,71,8,0,0,0,11,44,1,35,7,59,0,5,25,3,
36,0,0,0,0,0,11,59,0,48,9,9,0,6,16,5,
37,0,0,0,0,0,12,10,1,17,56,18,0,5,25,5,
38,0,0,0,0,0,12,50,0,37,41,36,0,6,73,1,
39,62,3,0,88,0,13,14,0,15,11,1,0,2,83,1,
40,0,0,0,0,0,13,24,0,26,59,14,0,6,30,4,
41,1,0,0,23,0,13,31,0,41,2,7,0,5,72,3,
42,0,0,0,0,0,13,42,1,26,1,19,0,5,94,5,
43,0,0,0,0,0,13,44,1,26,17,5,0,6,31,5,
44,0,0,0,0,0,14,2,0,33,12,22,0,6,25,2,
45,62,22,0,89,0,14,36,0,20,12,24,0,4,80,7,
46,0,0,0,0,0,14,28,1,7,46,50,0,5,12,7,
47,0,0,0,0,0,13,19,1,84,59,39,0,5,77,7,
48,17,0,0,7,0,14,38,1,18,55,58,0,4,44,7,
49,0,0,0,0,0,14,56,0,22,17,3,0,6,24,2,
50,67,0,0,35,0,14,59,0,8,49,15,0,5,79,3,
51,0,0,0,0,0,14,55,1,9,34,11,0,5,75,1,
52,0,0,0,0,0,15,7,0,31,32,9,0,6,45,5,
53,0,0,0,0,0,15,11,0,27,16,59,0,6,35,2,
54,0,0,0,0,0,14,58,1,34,54,16,0,6,17,5,
55,0,0,0,0,0,16,14,0,76,57,3,0,6,35,1,
56,0,0,0,0,0,16,22,0,43,35,41,0,6,15,2,
57,0,0,0,0,0,16,9,1,31,26,47,0,5,67,5,
58,0,0,0,0,0,15,55,1,75,54,41,0,6,49,4,
59,67,0,0,36,0,16,34,0,8,14,24,0,6,11,4,
60,0,0,0,0,0,16,57,0,61,32,0,0,5,74,4,
61,0,0,0,0,0,16,43,1,20,12,38,0,6,47,1,
62,0,0,0,0,0,17,9,0,47,56,51,0,5,89,1,
63,1,8,0,24,0,17,6,0,38,40,54,0,4,61,2,
64,0,0,0,0,0,16,49,1,78,46,50,0,6,77,3,
65,0,0,0,0,0,17,43,0,51,25,59,0,6,14,0,
66,0,0,0,0,0,17,33,1,19,3,4,0,6,45,3,
